Archangel's Staff, 대천사의 지팡이
Dark Star Sigil,
Head of Kha'Zix,
Black Spear,Kalista's spear that binds an Oathsworn Ally.
Black Cleaver,Dealing physical damage to enemy champions reduces their Armor
Elixir of Iron,Temporarily increases defenses. Leaves a trail for allies to follow.
Cloak of Stars,
Showdown Health Potion,Consume to restore Health over time
Forgefire Cape,Constantly deals damage to nearby enemies
Rejuvenation Bead,Slightly increases Health Regen
Ardent Censer,Shield and heal effects on other units grant both of you Attack Speed and their attacks deal additional on-hit magic damage.
Death's Dance,Trades incoming damage now for incoming damage later
Shurelya's Reverie,Activate to speed up nearby allies.
Jaurim's Fist,Attack Damage and stacking Health on Unit Kill
Head of Kha'Zix,
Chain Vest,Greatly increases Armor
Runesteel Spaulders,
Redemption,Activate to heal allies and damage enemies in an area
Shard of True Ice,
Sanguine Blade,When hunting lone enemy champions gain Attack Speed and Lethality
Timeworn Frost Queen's Claim,Sends out seeking wraiths that track hidden enemies and slow them
Bramble Vest,Prevents enemies from using Life Steal against you.
Mercury's Treads,Increases Movement Speed and reduces duration of disabling effects
Hextech Revolver,Increases Ability Power. Deal bonus magic damage on attack periodically.
Frozen Mallet,Basic attacks slow enemies
Stormrazor,Tremendously empower other Energized effects.
Sheen,Grants a bonus to next attack after spell cast
Hextech Protobelt-01,Activate to dash forward and unleash a fiery explosion
Broken Stopwatch,Upgrades to stopwatch
Raise Morale,Cannon Barrage hastes allies
Circlet of the Iron Solari,Activate to shield nearby allies from damage
Luden's Pulse,"Increases Ability Power, Mana, and Cooldown Reduction"
Faerie Charm,Slightly increases Mana Regen
Timeworn Spellthief's Edge,Grants gold when you damage enemies
Blasting Wand,Moderately increases Ability Power
Zephyr,Mobility and Tenacity
Raptor Cloak,Enhances Movement Speed near turrets
Ghost Poro,
Enchantment: Bloodrazor,
Blade of the Ruined King,"Deals damage based on target's Health, can steal Movement Speed"
Head of Kha'Zix,
Mortal Reminder,Overcomes enemies with high Health recovery and Armor
Iceborn Gauntlet,Basic attacks create a slow field after spell cast
Commencing Stopwatch,
Gargoyle Stoneplate,Greatly increases defense near multiple enemies.
Zhonya's Paradox,Activate to become invincible but unable to take actions
Moonflair Spellblade,Improves defense and reduces duration of disabling effects
Guardian's Orb,Good starting item for mages
Obsidian Cleaver,Dealing physical damage to enemy champions reduces their Armor
Pickaxe,Moderately increases Attack Damage
Gravity Boots,
Lord Dominik's Regards,Overcomes enemies with high health and armor
Warding Totem (Trinket),Periodically place a Stealth Ward
Youmuu's Wraithblade,Activate to greatly increase Movement Speed
Hunter's Talisman,Provides damage against Monsters and Mana Regen in the Jungle
Harrowing Crescent,
Bulwark of the Mountain,
Zeke's Convergence,Grants you and your ally bonuses when you cast your ultimate.
Control Ward,Used to disable wards and invisible traps in an area.
Hunter's Machete,Provides damage and life steal versus Monsters
Timeworn Nomad's Medallion,Grants gold and mana when nearby minions die that you didn't kill
Bloodthirster,"Grants Attack Damage, Life Steal and Life Steal now overheals"
Aegis of the Legion,Grants Armor and Magic Resistance
Trinity Force,Tons of Damage
Rylai's Crystal Scepter,Abilities slow enemies
Stalker's Blade,Lets your Smite slow Champions
Nashor's Tooth,"Increases Attack Speed, Ability Power, and Cooldown Reduction"
Spectral Sickle,Gain gold and upgrade by damaging enemy champions
Diet Poro-Snax,
Dark Seal,Provides Ability Power and Mana.  Increases in power as you kill enemies.
Enchantment: Bloodrazor,Increases Attack Speed and deals damage based on the target's Health
Tear of the Goddess (Quick Charge),Increases maximum Mana as Mana is spent
Spectre's Cowl,Improves defense and grants regeneration upon being damaged
Enchantment: Warrior,
Trinity Fusion,Tons of Damage
Frozen Fist,Basic attacks create a slow field after spell cast
Fiendish Codex,Increases Ability Power and Cooldown Reduction
Dark Matter Scythe,
Kindlegem,Increases Health and Cooldown Reduction
Guardian Angel,Periodically revives champion upon death
Banshee's Veil,Periodically blocks enemy abilities
Runaan's Hurricane,Ranged attacks fire two bolts at nearby enemies
Enchantment: Runic Echoes,Grants Ability Power and periodically empowers your Spells
Bilgewater Cutlass,Activate to deal magic damage and slow target champion
Umbral Glaive,Provides trap and ward detection periodically
Rabadon's Deathcrown,Massively increases Ability Power
Athene's Unholy Grail,Deal damage to empower your heals and shields
Mercurial Scimitar,Activate to remove all crowd control debuffs and grant massive Movement Speed
Serrated Dirk,Increases Attack Damage and Lethality
Enchantment: Cinderhulk,Grants Health and Immolate Aura
Kircheis Shard,Attack speed and a chargable magic hit
Enchantment: Runic Echoes,Grants Ability Power and periodically empowers your Spells
Crystalline Bracer,Grants Health and Health Regen
Abyssal Mask,Nearby enemies take more magic damage
Cloak of Agility,Increases critical strike chance
Singularity Lantern,
Doran's Shield,Good defensive starting item
Needlessly Large Rod,Greatly increases Ability Power
Chalice of Harmony,Increases Mana and Health Regeneration
Warden's Mail,Slows Attack Speed of enemy champions when receiving basic attacks
Timeworn Frostfang,Grants gold when you damage an enemy
Zhonya's Hourglass,Activate to become invincible but unable to take actions
Elixir of Sorcery,Temporarily grants Ability Power and Bonus Damage to champions and turrets.
Ravenous Hydra,"Melee attacks hit nearby enemies, dealing damage and restoring Health"
Locket of the Iron Solari,Activate to shield nearby allies from damage
Aether Wisp,Increases Ability Power and Movement Speed
Corrupting Potion,Restores Health and Mana over time and boosts combat power - Refills at Shop
Black Mist Scythe,
Tear of the Goddess,Increases maximum Mana as Mana is spent
Muramana,
Sterak's Gage,Shields against large bursts of damage
Rod of Ages,"Greatly increases Health, Mana, and Ability Power"
Ionian Boots of Lucidity,Increases Movement Speed and Cooldown Reduction
Seeker's Armguard,Increases Armor and Ability Power
Rabadon's Deathcap,Massively increases Ability Power
Wooglet's Witchcrown,Massively increases Ability Power and can be activated to enter stasis
Spellthief's Edge,Gain gold and upgrade by damaging enemy champions
Titanic Hydra,Deals area of effect damage based on owner's health
Negatron Cloak,Moderately increases Magic Resist
Greater Stealth Totem (Trinket),Periodically place a Stealth Ward
Total Biscuit of Everlasting Will,
Dagger,Slightly increases Attack Speed
Stopwatch,Activate to become invincible but unable to take actions
Righteous Glory,"Grants Health, Mana, and Armor. Activate to speed towards enemies and slow them."
Liandry's Torment,Spell damage burns enemies for a portion of their Health
Long Sword,Slightly increases Attack Damage
Mikael's Crucible,Activate to remove all disabling effects from an allied champion
Head of Kha'Zix,
Executioner's Calling,Overcomes enemies with high health gain
Sapphire Crystal,Increases Mana
Zeal,"Slight bonuses to Critical Strike Chance, Movement Speed and Attack Speed"
Luden's Echo,"Increases Ability Power, Mana, and Cooldown Reduction"
Rapid Firecannon,Movement builds charges that release a sieging fire attack on release
Timeworn Targon's Brace,Periodically kill enemy minions to heal and grant gold to a nearby ally
Timeworn Talisman of Ascension,Increases Health / Mana Regeneration and Cooldown Reduction. Activate to speed up nearby allies.
Oracle's Extract,Allows champion to see invisible or unseen enemy units
Eye of the Herald,Eye of the Herald - a Gift of the Void.
Guardian's Horn,Good starting item for tanks
Stinger,Increased Attack Speed and Cooldown Reduction
Health Potion,Consume to restore Health over time
Pauldrons of Whiterock,
Farsight Alteration,Grants increased range and reveals the targetted area
Enchantment: Runic Echoes,
Might of the Ruined King,"Deals damage based on target's Health, can steal Movement Speed"
Refillable Potion,Restores Health over time. Refills at shop.
Randuin's Omen,"Greatly increases defenses, activate to slow nearby enemies"
Glacial Shroud,Increases Armor and Cooldown Reduction
Bami's Cinder,Grants Health and Immolate Aura
Boots of Mobility,Greatly enhances Movement Speed when out of combat
Skirmisher's Sabre,"Lets your Smite mark Champions, giving you combat power against them."
Spirit Visage,Increases Health and healing effects
Spellbinder,Stores nearby spellcasts and can consume them to grant Movement Speed and Ability Power.
Berserker's Greaves,Enhances Movement Speed and Attack Speed
'Your Cut',
Tiamat,Melee attacks hit nearby enemies
Zz'Rot Portal,Makes a Voidspawn generating Void Gate to push a lane with.
Sorcerer's Shoes,Enhances Movement Speed and magic damage
Targon's Buckler,
Infinity Edge,Massively enhances critical strikes
Guardian's Hammer,Good starting item for attackers
Molten Edge,Massively enhances critical strikes
Doran's Ring,Good starting item for casters
Thornmail,Returns damage taken from basic attacks as magic damage
Timeworn Relic Shield,Kill minions periodically to heal and grant gold to a nearby ally
Warmog's Armor,Grants massive Health and Health Regen
Doran's Blade,Good starting item for attackers
Enchantment: Warrior,Grants Attack Damage and Cooldown Reduction
Catalyst of Aeons,Spend Mana to recover Health
Black Spear,Kalista's spear that binds an Oathsworn Ally.
Enchantment: Cinderhulk,Grants Health and Immolate Aura
Total Biscuit of Rejuvenation,
Ohmwrecker,Temporarily disables enemy turrets
Cull,Provides damage and Life Steal on hit - Killing minions grant bonus Gold
Edge of Night,Periodically blocks enemy abilities
Ninja Tabi,Enhances Movement Speed and reduces incoming basic attack damage
Lord Van Damm's Pillager,Reduces Armor of nearby enemies
Cloth Armor,Slightly increases Armor
Spear of Shojin,"After casting your ultimate, your basic attacks reduces your remaining non-ultimate cooldowns."
Ruby Crystal,Increases Health
Timeworn Ancient Coin,Grants gold and mana when nearby minions die that you didn't kill
Lich Bane,Grants a bonus to next attack after spell cast
Null-Magic Mantle,Slightly increases Magic Resist
Manamune (Quick Charge),Increases Attack Damage based on maximum Mana
Broken Stopwatch,
Slightly Magical Boots,Slightly increases Movement Speed
Prototype Hex Core,Increases Ability Power and can be upgraded to improve Viktor's abilities
Enchantment: Warrior,Grants Attack Damage and Cooldown Reduction
Knight's Vow,Partner with an ally to protect each other
Infernal Mask,Nearby enemies take more magic damage
Death's Daughter,Cannon Barrage fires a mega-cannonball
Fire at Will,Cannon Barrage gains extra waves
Hex Core mk-2,Allows Viktor to improve an ability of his choice
Eye of the Herald,Eye of the Herald - a Gift of the Void.
Phantom Dancer,Move faster while attacking enemies and gain a shield when on low health.
Wit's End,Resist magic damage and claw your way back to life.
Relic Shield,Gain gold and upgrade by executing minions alongside allies
